"pi_1","pi_2","mse_or","mse_ipw","mse_aipw1","mse_aipw2","abias_or","abias_ipw","abias_aipw1","abias_aipw2","var_or","var_ipw","var_aipw1","var_aipw2"
0.11,0.21,0.0639998252825525,0.0636298606579389,0.0636298606579389,0.0636298606579389,0.203627895473752,0.201548797096937,0.201548797096937,0.201548797096937,0.0567193178046422,0.0635924209875574,0.0635924209875574,0.0635924209875574
0.12,0.21,0.0663475770394045,0.0627189168108905,0.0627189168108905,0.0627189168108905,0.205670351180471,0.198626012268837,0.198626012268837,0.198626012268837,0.0586612442181796,0.0626987640123093,0.0626987640123093,0.0626987640123093
0.13,0.21,0.064816882568099,0.062884163051963,0.062884163051963,0.062884163051963,0.200262934394446,0.198425937756445,0.198425937756445,0.198425937756445,0.059306232013831,0.0628994489136166,0.0628994489136166,0.0628994489136166
0.14,0.21,0.062156828914148,0.0617364904431042,0.0617364904431042,0.0617364904431042,0.199563129895841,0.198315147880357,0.198315147880357,0.198315147880357,0.059207544151528,0.0617223557405649,0.0617223557405649,0.0617223557405649
0.15,0.21,0.0568543842982567,0.0562382648956484,0.0562382648956484,0.0562382648956484,0.190734726974678,0.190880958612361,0.190880958612361,0.190880958612361,0.0547515153246794,0.0562423364606231,0.0562423364606231,0.0562423364606231
0.16,0.21,0.0618921856577751,0.0620358329479993,0.0620358329479993,0.0620358329479993,0.199053392394966,0.199362989320594,0.199362989320594,0.199362989320594,0.0607619890806815,0.0620118252032191,0.0620118252032191,0.0620118252032191
0.17,0.21,0.0624183847602574,0.0608759542984722,0.0608759542984722,0.0608759542984722,0.200794088498898,0.198714083679243,0.198714083679243,0.198714083679243,0.0599766280746796,0.0606081611336761,0.0606081611336761,0.0606081611336761
0.18,0.21,0.058490391387065,0.0582005945967418,0.0582005945967418,0.0582005945967418,0.193152437656685,0.192707820917229,0.192707820917229,0.192707820917229,0.0580222238385725,0.0582274353324834,0.0582274353324834,0.0582274353324834
0.19,0.21,0.0554824269247744,0.0552385456221711,0.0552385456221711,0.0552385456221711,0.187671670513584,0.187433268501113,0.187433268501113,0.187433268501113,0.0551509568431331,0.0552551291489192,0.0552551291489192,0.0552551291489192
0.2,0.21,0.0580114236468869,0.0579995182138284,0.0579995182138284,0.0579995182138284,0.192787991736586,0.192756354485034,0.192756354485034,0.192756354485034,0.0579821645017601,0.0580285315471936,0.0580285315471936,0.0580285315471936
0.21,0.21,0.0590256275422653,0.0590256275422653,0.0590256275422653,0.0590256275422653,0.194703968222147,0.194703968222147,0.194703968222147,0.194703968222147,0.059007815914465,0.059007815914465,0.059007815914465,0.059007815914465
0.1,0.22,0.0671710688128211,0.0645705867372932,0.0645705867372932,0.0645705867372932,0.204498158711109,0.199436392798411,0.199436392798411,0.199436392798411,0.0549087634093997,0.0645993008582711,0.0645993008582711,0.0645993008582711
0.11,0.22,0.0651848800764438,0.0621271491332657,0.0621271491332657,0.0621271491332657,0.203901952654584,0.200497525709419,0.200497525709419,0.200497525709419,0.0555575510531699,0.0621575412647514,0.0621575412647514,0.0621575412647514
0.12,0.22,0.0661421816192951,0.0620735042019739,0.0620735042019739,0.0620735042019739,0.20394886146925,0.198649609002949,0.198649609002949,0.198649609002949,0.0561776249148413,0.0619841156579781,0.0619841156579781,0.0619841156579781
0.13,0.22,0.0594940423283929,0.0581950041286166,0.0581950041286166,0.0581950041286166,0.195118189593623,0.190276018441517,0.190276018441517,0.190276018441517,0.0543453093486253,0.0581842388708174,0.0581842388708174,0.0581842388708174
0.14,0.22,0.0629785861642899,0.0609571086901254,0.0609571086901254,0.0609571086901254,0.199948074773658,0.196651023460148,0.196651023460148,0.196651023460148,0.0582137998145751,0.0609855824661757,0.0609855824661757,0.0609855824661757
0.15,0.22,0.0577162620561615,0.0587398818298787,0.0587398818298787,0.0587398818298787,0.191798191793557,0.193802814388743,0.193802814388743,0.193802814388743,0.0563098866845388,0.0583401009797563,0.0583401009797563,0.0583401009797563
0.16,0.22,0.0570203607401056,0.0564511581380126,0.0564511581380126,0.0564511581380126,0.191295438916386,0.190304220482568,0.190304220482568,0.190304220482568,0.054863681076706,0.0564749267502406,0.0564749267502406,0.0564749267502406
0.17,0.22,0.0552897877151747,0.0546586644550149,0.0546586644550149,0.0546586644550149,0.188965863899321,0.188198542585896,0.188198542585896,0.188198542585896,0.0538015290218879,0.0546853505048681,0.0546853505048681,0.0546853505048681
